trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-168.31423969616196,"{0: 16, 1: 5, 2: 6, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-77.35167330261045,"{0: 11, 1: 4, 2: 3, 3: 2, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-154.75857279458552,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-120.65127217392154,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-163.14567813694646,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-73.65443383046632,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-95.2346600638716,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-119.20248319324806,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-143.01034070212182,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-94.95857285424673,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-50.21012347899889,"{0: 25, 1: 1, 2: 2, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,7,-129.24358517777506,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 3}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-67.17134792254711,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-58.738728121595834,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-31.268519601986714,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,14,-17.08939585041406,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,10,-16.49601577550225,"{0: 8, 1: 1, 2: 0, 3: 1, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-21.5621937894328,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,17,-10.686969907955742,"{0: 10, 1: 2, 2: 0, 3: 1, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-40.269274318540425,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",25,0,29.606635637118266,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",25,0,-65.56007240347645,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",20,0,-44.95292244149033,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",20,0,-43.19216245068785,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",25,11,-5.2545624884464965,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,0,-30.10777987615896,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,0,-59.50713837001862,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",25,16,12.558135274261797,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,0,-33.142860579709215,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",30,0,-140.39283779178754,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 4}",0
