trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9880717128619305}",20,0,-76.46746784661465,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9821610323583008}",25,0,-103.73269367601455,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9762857097579093}",20,10,-29.400674378912388,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.9704455335485082}",20,0,-167.54184002941906,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.9646402934831231}",25,0,-116.03505061792157,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9588697805724845}",20,0,-30.084673312366824,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9531337870775047}",20,0,-105.72252542571549,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9474321065017983}",20,0,-111.76878801762365,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9417645335842487}",25,0,-95.63128908113777,"{0: 13, 1: 2, 2: 10, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.9361308642916188}",20,0,-30.231153109509158,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.9305308958112057}",30,0,-236.0221510989986,"{0: 13, 1: 6, 2: 6, 3: 2, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.9249644265435393}",20,0,-106.12623235306994,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.9194312560951247}",20,0,-136.30143338730915,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.9139311852712282}",25,0,-63.665973133641764,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.9084640160687062}",20,16,5.613934886836391,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.9030295516688768}",20,0,-154.5088308373467,"{0: 6, 1: 8, 2: 4, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.8976275964304349}",25,0,-97.38380045491525,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.8922579558824083}",25,0,-107.95518930146211,"{0: 12, 1: 4, 2: 8, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.8869204367171575}",20,0,-119.00515162867127,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': 0.8816148467834161}",20,0,-143.6468235388661,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.8763409950793732}",25,0,-170.97088857413465,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
22,False,"{'a': 0.5, 'e': 0.8710986917457983}",25,14,-16.86479511752039,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.865887748059205}",20,0,-173.29386325505678,"{0: 6, 1: 5, 2: 5, 3: 3, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.8607079764250578}",30,0,-146.9593777044647,"{0: 20, 1: 4, 2: 1, 3: 3, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.8555591903710185}",25,0,-139.27053333221025,"{0: 17, 1: 3, 2: 2, 3: 0, 4: 3}",0
26,False,"{'a': 0.5, 'e': 0.850441204540233}",25,0,-121.81152142509316,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.8453538346846587}",20,0,-79.18176550860032,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.8402968976584314}",25,0,-97.5700701473067,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.835270211411272}",20,0,-104.26802051169088,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
30,False,"{'a': 0.5, 'e': 0.8302735949819326}",25,0,-114.65245033650743,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.8253068684916823}",20,0,0.42536588020887034,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.8203698531378311}",20,0,-174.76347439671778,"{0: 12, 1: 1, 2: 2, 3: 2, 4: 3}",0
33,False,"{'a': 0.5, 'e': 0.8154623711872927}",20,0,-138.07071554653731,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 3}",0
34,False,"{'a': 0.5, 'e': 0.8105842459701871}",30,0,-149.0340321255967,"{0: 19, 1: 4, 2: 3, 3: 2, 4: 2}",0
35,False,"{'a': 0.5, 'e': 0.8057353018734796}",25,0,-129.9717423024933,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
36,False,"{'a': 0.5, 'e': 0.8009153643346592}",25,0,-166.86439212435056,"{0: 16, 1: 2, 2: 2, 3: 2, 4: 3}",0
37,False,"{'a': 0.5, 'e': 0.7961242598354538}",20,0,-121.21322927241796,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.7913618158955839}",25,0,-143.22766034580673,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
39,False,"{'a': 0.5, 'e': 0.7866278610665535}",30,0,-92.39917313452453,"{0: 22, 1: 1, 2: 4, 3: 2, 4: 1}",0
40,False,"{'a': 0.5, 'e': 0.7819222249254772}",20,0,-39.01909428810758,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.7772447380689461}",30,6,-66.28583659978281,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 1}",1
42,False,"{'a': 0.5, 'e': 0.772595232106928}",20,10,-43.537844106021865,"{0: 6, 1: 1, 2: 1, 3: 2, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.7679735396567061}",30,0,-174.28027604773106,"{0: 19, 1: 2, 2: 5, 3: 1, 4: 3}",0
44,False,"{'a': 0.5, 'e': 0.7633794943368531}",20,13,-0.28760282944775506,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.7588129307612413}",25,4,-118.12985361817307,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 2}",1
46,False,"{'a': 0.5, 'e': 0.754273684533089}",25,0,-36.597841912815184,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.7497615922390413}",20,0,-71.48231307433343,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.7452764914432887}",25,0,-44.54969849315888,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.7408182206817179}",30,0,-93.25979277036177,"{0: 21, 1: 5, 2: 1, 3: 2, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.7363866194561001}",20,13,-10.130481478813264,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.7319815282283126}",20,0,-100.59916973262912,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
52,False,"{'a': 0.5, 'e': 0.7276027884145955}",35,0,-157.9960015768223,"{0: 24, 1: 3, 2: 5, 3: 0, 4: 3}",0
53,False,"{'a': 0.5, 'e': 0.7232502423798424}",20,8,-31.416800080581027,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
54,False,"{'a': 0.5, 'e': 0.7189237334319262}",30,0,-161.66265567946473,"{0: 20, 1: 1, 2: 6, 3: 0, 4: 3}",0
55,False,"{'a': 0.5, 'e': 0.7146231058160573}",20,0,-19.784720432056755,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
56,False,"{'a': 0.5, 'e': 0.7103482047091773}",20,0,-63.3953281278825,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
