trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-127.75499357049868,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-243.55956900196853,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 5}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-78.74570024705837,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-129.78096085936613,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-80.74749522423394,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-174.10156609326333,"{0: 15, 1: 5, 2: 1, 3: 0, 4: 4}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,3,-201.21691428932496,"{0: 16, 1: 4, 2: 2, 3: 1, 4: 4}",1
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-174.21180847649012,"{0: 14, 1: 1, 2: 7, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-144.01979677851162,"{0: 18, 1: 3, 2: 5, 3: 3, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-136.59082832147698,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-81.77895036279567,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-144.5917134723711,"{0: 13, 1: 0, 2: 2, 3: 3, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-57.12782286806548,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-147.9731965117406,"{0: 16, 1: 7, 2: 5, 3: 0, 4: 2}",1
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-92.5462993949628,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-227.122819522516,"{0: 18, 1: 2, 2: 4, 3: 2, 4: 4}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-115.4040641053769,"{0: 20, 1: 3, 2: 4, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-163.89713526394598,"{0: 11, 1: 5, 2: 7, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",35,0,-198.50004235435804,"{0: 20, 1: 6, 2: 5, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",35,18,-61.99447737370547,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 0}",1
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-125.12559664838884,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",35,0,-290.85567943430954,"{0: 12, 1: 9, 2: 10, 3: 0, 4: 4}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-170.6950236207695,"{0: 8, 1: 2, 2: 7, 3: 1, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",35,0,-137.4576373800795,"{0: 21, 1: 4, 2: 8, 3: 1, 4: 1}",1
5,True,"{'a': 0.5, 'e': 1.0}",20,1,-155.61734384823666,"{0: 8, 1: 0, 2: 7, 3: 3, 4: 1}",1
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-68.838053448308,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-74.68087087948585,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-90.67378229166378,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-194.70303001512247,"{0: 8, 1: 3, 2: 5, 3: 1, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-103.44132764213244,"{0: 10, 1: 5, 2: 3, 3: 1, 4: 1}",0
